ID;parent_ID;title;shallowReference;validFrom;validTo;hierarchyLevel;tenant;mappingID
13a9dc78-de13-c8f5-11f7-098e8ac4ebad;288d547f-d16d-6df5-13c3-17de3f11c50d;WS Preise B2B;30513;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30513 WS Preise B2B
e2200a93-c694-9118-9e25-cb0ab46ce0e4;288d547f-d16d-6df5-13c3-17de3f11c50d;Bestellung Elektronisch an Merkel senden;30520;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30520 Bestellung Elektronisch an Merkel senden
ae2f2d4b-908d-b2d8-c713-d06b9929391a;288d547f-d16d-6df5-13c3-17de3f11c50d;Änderung der Steuernummer der Frankonia KG in Dok.;30530;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30530 Änderung der Steuernummer der Frankonia KG in Dok.
81c8cbc6-4136-326b-0726-44a058c8f331;288d547f-d16d-6df5-13c3-17de3f11c50d;Plätze über Tabelleneintrag löschen;30540;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30540 Plätze über Tabelleneintrag löschen
d6972e2f-2eaf-6d51-5089-1f04253af53e;288d547f-d16d-6df5-13c3-17de3f11c50d;Jungjäger: Keine Anträge in Fiori;30541;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30541 Jungjäger: Keine Anträge in Fiori
08abea23-ba99-00e2-3f8a-01eadc0877fa;288d547f-d16d-6df5-13c3-17de3f11c50d;SAP QM Einspielreport;30571;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30571 SAP QM Einspielreport
46e5ab7c-a0a6-f3b8-c67e-2c2e3c2eb0ca;288d547f-d16d-6df5-13c3-17de3f11c50d;Zahlkarten im Kundenstamm;30572;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30572 Verriegelung Erfassung WBK-Zahlkarten im Kundenstamm
a73eb42c-f8f0-a69f-9913-72ff5008bc1c;288d547f-d16d-6df5-13c3-17de3f11c50d; Warenempfänger;30573;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30573 Paketbegleitschein - Warenempfänger
9f552682-9d68-02c2-2dd6-bb8de1c00b6e;288d547f-d16d-6df5-13c3-17de3f11c50d;DPD Avisierung 02.02.2022 nicht möglich;30579;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30579 DPD Avisierung 02.02.2022 nicht möglich
836247b5-6099-5f8e-75a7-57f7a9893aa1;288d547f-d16d-6df5-13c3-17de3f11c50d; Fiori Dokument löst Text in Auftrag aus;30583;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30583 P01 - Fiori Dokument löst Text in Auftrag aus
7f4e3aec-08c3-5374-5575-bd4d4969cfe2;288d547f-d16d-6df5-13c3-17de3f11c50d; Doppelte Gutschrift von Versandkosten;30585;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30585 P01 - Doppelte Gutschrift von Versandkosten
5c3a8e5f-19ab-aad6-5a2c-060db56151f0;288d547f-d16d-6df5-13c3-17de3f11c50d;Faktura Preisermittlung für WS;30594;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30594 POS-Faktura Preisermittlung für WS
